,name,latitude,longitude,rating,number of reviews,affluence
88,Food 'n' more,23.7489583,90.3686637,4.3,22.0,
89,Chillox Dhanmondi,23.74015799999999,90.3748599,4.3,7261.0,$$
90,A & W,23.749991,90.3691008,4.0,1284.0,
91,Chicken Street,23.7504976,90.37888009999999,4.3,52.0,
92,Biye Bari Restaurant,23.7497393,90.3686747,3.8,1636.0,$$
93,"Pinewood Cafe+Kitchen, Dhanmondi-12",23.7523232,90.37541089999999,4.2,3245.0,$$
94,bbq Bangladesh,23.7498091,90.3686446,4.2,1762.0,$$
95,Chunk,23.742195,90.3799208,3.9,1143.0,$$
96,Cafe Euphoria,23.7392874,90.3753768,3.9,2108.0,$$
97,Trump Cafe,23.7392546,90.37540229999999,3.7,1010.0,$$
98,Gamblers Live Kitchen,23.7391965,90.37531779999999,3.8,1514.0,$$
99,Sabroso,23.7526587,90.36971740000001,4.0,1376.0,$$
100,LHF,23.7520013,90.3678408,3.6,67.0,$$
101,Burger Bistro,23.7517542,90.3814007,3.6,19.0,
102,Real Pizza,23.7537667,90.3696282,3.6,25.0,$$
103,Adda Restaurant,23.7417534,90.3824807,4.0,1935.0,$$
104,TBC-Dhanmondi,23.7538848,90.36965,4.0,621.0,$$
105,Sp Masala Spice,23.7422173,90.3828375,3.7,7.0,
106,Bhooter Bari,23.7539119,90.3695587,3.8,1195.0,$$
107,KFC,23.7526325,90.381001,4.0,1343.0,$$
108,UniCafe Restaurant & Fun,23.75271500000001,90.38107199999999,4.1,1370.0,$$
109,CP Five Star,23.7553612,90.3768527,3.8,38.0,
110,Beijing Kitchen Restaurant,23.7455328,90.38494899999999,3.0,3.0,
111,ইউরো হাট,23.7560348,90.37509089999999,4.1,103.0,
112,Sausly's Foods,23.7528866,90.3821899,3.9,135.0,
113,Araaz Restaurant & Banquet,23.7562172,90.3750786,3.9,706.0,$$
114,The Food Chain,23.7574934,90.3744084,,,
115,"Terra Bistro, Banani",23.7558075,90.36679939999999,3.8,71.0,
116,Food Lover,23.7582862,90.3735835,4.3,11.0,
117,Yumm TatsteTic,23.7516661,90.3865919,4.3,108.0,$
118,Parban Restaurant,23.7335631,90.38145840000001,3.6,116.0,$$
119,Hot Chilli Fried Chicken,23.7550801,90.3605331,3.7,51.0,
120,Hotel Sarina Dhaka,23.7932655,90.4043303,4.3,3007.0,
